bilibili.com,29,2474
case.edu,16,1856
www.gov.cn,17,2075
douyu.tv,24,2602
tribunnews.com,13,2301
facebook.com,11,2038
youtube.com,15,2042
google.co.jp,15,2056
mail.google.com,15,2039
github.com,21,2048
